Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
7,Google,Batman v Superman: Dawn of Justice,Batm,batman vs superman full movie,2016-05-02 07:33:42,4
7,Google,Batman v Superman: Dawn of Justice,Batma,batman vs superman full movie,2016-05-02 07:33:42,5
7,Google,Batman v Superman: Dawn of Justice,Batman,batman vs superman full movie,2016-05-02 07:33:42,6
6,Google,Batman v Superman: Dawn of Justice,Batman ,batman vs superman full movie,2016-05-02 07:33:42,7
3,Google,Batman v Superman: Dawn of Justice,Batman v,batman vs superman full movie,2016-05-02 07:33:42,8
6,Google,Batman v Superman: Dawn of Justice,Batman v,batman vs superman full movie online,2016-05-02 07:33:42,8
9,Bing,Batman v Superman: Dawn of Justice,Batman v,batman vs superman full movie,2016-05-02 07:33:42,8
8,Google,Batman v Superman: Dawn of Justice,Batman v ,batman v superman full movie,2016-05-02 07:33:42,9
10,Bing,Batman v Superman: Dawn of Justice,Batman v ,batman v superman full movie,2016-05-02 07:33:42,9
8,Google,Batman v Superman: Dawn of Justice,Batman v S,batman v superman full movie,2016-05-02 07:33:43,10
10,Bing,Batman v Superman: Dawn of Justice,Batman v S,batman v superman full movie,2016-05-02 07:33:43,10
10,Bing,Batman v Superman: Dawn of Justice,Batman v Su,batman v superman full movie,2016-05-02 07:33:43,11
8,Google,Batman v Superman: Dawn of Justice,Batman v Su,batman v superman full movie,2016-05-02 07:33:43,11
8,Google,Batman v Superman: Dawn of Justice,Batman v Sup,batman v superman full movie,2016-05-02 07:33:43,12
10,Bing,Batman v Superman: Dawn of Justice,Batman v Sup,batman v superman full movie,2016-05-02 07:33:43,12
8,Google,Batman v Superman: Dawn of Justice,Batman v Supe,batman v superman full movie,2016-05-02 07:33:43,13
10,Bing,Batman v Superman: Dawn of Justice,Batman v Supe,batman v superman full movie,2016-05-02 07:33:43,13
8,Google,Batman v Superman: Dawn of Justice,Batman v Super,batman v superman full movie,2016-05-02 07:33:43,14
10,Bing,Batman v Superman: Dawn of Justice,Batman v Super,batman v superman full movie,2016-05-02 07:33:43,14
8,Google,Batman v Superman: Dawn of Justice,Batman v Superm,batman v superman full movie,2016-05-02 07:33:43,15
