Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,The Revenant,The ,the jungle book,2016-05-02 07:50:40,4
2,Google,The Revenant,The ,the huntsman winter's war,2016-05-02 07:50:40,4
3,Google,The Revenant,The ,the boss,2016-05-02 07:50:40,4
4,Google,The Revenant,The ,the revenant,2016-05-02 07:50:40,4
5,Google,The Revenant,The ,the big short,2016-05-02 07:50:40,4
6,Google,The Revenant,The ,the walking dead,2016-05-02 07:50:40,4
7,Google,The Revenant,The ,the division,2016-05-02 07:50:40,4
8,Google,The Revenant,The ,the weather channel,2016-05-02 07:50:40,4
9,Google,The Revenant,The ,the bachelor,2016-05-02 07:50:40,4
10,Google,The Revenant,The ,the good wife,2016-05-02 07:50:40,4
1,Bing,The Revenant,The ,the weather channel,2016-05-02 07:50:40,4
2,Bing,The Revenant,The ,the washington post,2016-05-02 07:50:40,4
3,Bing,The Revenant,The ,the pirate bay,2016-05-02 07:50:40,4
4,Bing,The Revenant,The ,the jamaica observer,2016-05-02 07:50:40,4
5,Bing,The Revenant,The ,the punch,2016-05-02 07:50:40,4
6,Bing,The Revenant,The ,the columbia bank,2016-05-02 07:50:40,4
7,Bing,The Revenant,The ,the baltimore sun,2016-05-02 07:50:40,4
8,Bing,The Revenant,The ,the voice,2016-05-02 07:50:40,4
9,Bing,The Revenant,The ,the walking dead,2016-05-02 07:50:40,4
10,Bing,The Revenant,The ,theblaze,2016-05-02 07:50:40,4
1,Google,The Revenant,The R,the revenant,2016-05-02 07:50:41,5
2,Google,The Revenant,The R,the rock,2016-05-02 07:50:41,5
3,Google,The Revenant,The R,the room,2016-05-02 07:50:41,5
4,Google,The Revenant,The R,the red wedding,2016-05-02 07:50:41,5
5,Google,The Revenant,The R,the real,2016-05-02 07:50:41,5
6,Google,The Revenant,The R,the returned,2016-05-02 07:50:41,5
7,Google,The Revenant,The R,the riggsby,2016-05-02 07:50:41,5
8,Google,The Revenant,The R,the rap game,2016-05-02 07:50:41,5
9,Google,The Revenant,The R,the red hen,2016-05-02 07:50:41,5
10,Google,The Revenant,The R,the ranch,2016-05-02 07:50:41,5
1,Bing,The Revenant,The R,the rickey smiley morning show,2016-05-02 07:50:41,5
2,Bing,The Revenant,The R,the revenant,2016-05-02 07:50:41,5
3,Bing,The Revenant,The R,the real news network,2016-05-02 07:50:41,5
4,Bing,The Revenant,The R,the root,2016-05-02 07:50:41,5
5,Bing,The Revenant,The R,the real talk show,2016-05-02 07:50:41,5
6,Bing,The Revenant,The R,the real,2016-05-02 07:50:41,5
7,Bing,The Revenant,The R,the royal gazette bermuda,2016-05-02 07:50:41,5
8,Bing,The Revenant,The R,the reggae boyz,2016-05-02 07:50:41,5
9,Bing,The Revenant,The R,the roanoke rapids daily herald,2016-05-02 07:50:41,5
10,Bing,The Revenant,The R,the ranch netflix,2016-05-02 07:50:41,5
1,Google,The Revenant,The Re,the revenant,2016-05-02 07:50:41,6
2,Google,The Revenant,The Re,the red wedding,2016-05-02 07:50:41,6
3,Google,The Revenant,The Re,the real,2016-05-02 07:50:41,6
4,Google,The Revenant,The Re,the returned,2016-05-02 07:50:41,6
5,Google,The Revenant,The Re,the red hen,2016-05-02 07:50:41,6
6,Google,The Revenant,The Re,the red woman,2016-05-02 07:50:41,6
7,Google,The Revenant,The Re,the revenant review,2016-05-02 07:50:41,6
