Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,The Witch,The ,the jungle book,2016-05-02 07:50:38,4
2,Google,The Witch,The ,the huntsman winter's war,2016-05-02 07:50:38,4
3,Google,The Witch,The ,the boss,2016-05-02 07:50:38,4
4,Google,The Witch,The ,the revenant,2016-05-02 07:50:38,4
5,Google,The Witch,The ,the big short,2016-05-02 07:50:38,4
6,Google,The Witch,The ,the walking dead,2016-05-02 07:50:38,4
7,Google,The Witch,The ,the division,2016-05-02 07:50:38,4
8,Google,The Witch,The ,the weather channel,2016-05-02 07:50:38,4
9,Google,The Witch,The ,the bachelor,2016-05-02 07:50:38,4
10,Google,The Witch,The ,the good wife,2016-05-02 07:50:38,4
1,Bing,The Witch,The ,the weather channel,2016-05-02 07:50:38,4
2,Bing,The Witch,The ,the washington post,2016-05-02 07:50:38,4
3,Bing,The Witch,The ,the pirate bay,2016-05-02 07:50:38,4
4,Bing,The Witch,The ,the jamaica observer,2016-05-02 07:50:38,4
5,Bing,The Witch,The ,the punch,2016-05-02 07:50:38,4
6,Bing,The Witch,The ,the columbia bank,2016-05-02 07:50:38,4
7,Bing,The Witch,The ,the baltimore sun,2016-05-02 07:50:38,4
8,Bing,The Witch,The ,the voice,2016-05-02 07:50:38,4
9,Bing,The Witch,The ,the walking dead,2016-05-02 07:50:38,4
10,Bing,The Witch,The ,theblaze,2016-05-02 07:50:38,4
1,Google,The Witch,The W,the walking dead,2016-05-02 07:50:39,5
2,Google,The Witch,The W,the weather channel,2016-05-02 07:50:39,5
3,Google,The Witch,The W,the weeknd,2016-05-02 07:50:39,5
4,Google,The Witch,The W,the witch,2016-05-02 07:50:39,5
5,Google,The Witch,The W,the washington post,2016-05-02 07:50:39,5
6,Google,The Witch,The W,the walking dead season 6,2016-05-02 07:50:39,5
7,Google,The Witch,The W,the wire,2016-05-02 07:50:39,5
8,Google,The Witch,The W,the wizard of oz,2016-05-02 07:50:39,5
9,Google,The Witch,The W,the white house,2016-05-02 07:50:39,5
10,Google,The Witch,The W,the walk,2016-05-02 07:50:39,5
1,Bing,The Witch,The W,the weather channel,2016-05-02 07:50:39,5
2,Bing,The Witch,The W,the washington post,2016-05-02 07:50:39,5
3,Bing,The Witch,The W,the walking dead,2016-05-02 07:50:39,5
4,Bing,The Witch,The W,the work number,2016-05-02 07:50:39,5
5,Bing,The Witch,The W,the waynesboro news virginian,2016-05-02 07:50:39,5
6,Bing,The Witch,The W,the walking dead season 6,2016-05-02 07:50:39,5
7,Bing,The Witch,The W,the weeknd,2016-05-02 07:50:39,5
8,Bing,The Witch,The W,the washington post obituaries,2016-05-02 07:50:39,5
9,Bing,The Witch,The W,the walking dead cast,2016-05-02 07:50:39,5
10,Bing,The Witch,The W,the washington times,2016-05-02 07:50:39,5
1,Google,The Witch,The Wi,the witch,2016-05-02 07:50:39,6
2,Google,The Witch,The Wi,the wizard of oz,2016-05-02 07:50:39,6
3,Google,The Witch,The Wi,the wire,2016-05-02 07:50:39,6
4,Google,The Witch,The Wi,the witch movie,2016-05-02 07:50:39,6
5,Google,The Witch,The Wi,the witness,2016-05-02 07:50:39,6
6,Google,The Witch,The Wi,the winds of winter,2016-05-02 07:50:39,6
7,Google,The Witch,The Wi,the wire cast,2016-05-02 07:50:39,6
8,Google,The Witch,The Wi,the witcher 3,2016-05-02 07:50:39,6
9,Google,The Witch,The Wi,the witch trailer,2016-05-02 07:50:39,6
