Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Compadres,Comp,compadres,2016-05-02 11:44:39,4
2,Google,Compadres,Comp,compass rose,2016-05-02 11:44:39,4
3,Google,Compadres,Comp,compass,2016-05-02 11:44:39,4
4,Google,Compadres,Comp,computer,2016-05-02 11:44:39,4
5,Google,Compadres,Comp,comptia,2016-05-02 11:44:39,4
6,Google,Compadres,Comp,complex,2016-05-02 11:44:39,4
7,Google,Compadres,Comp,complacent,2016-05-02 11:44:39,4
8,Google,Compadres,Comp,computershare,2016-05-02 11:44:39,4
9,Google,Compadres,Comp,compassion,2016-05-02 11:44:39,4
10,Google,Compadres,Comp,comptroller of md,2016-05-02 11:44:39,4
1,Bing,Compadres,Comp,comptroller of maryland,2016-05-02 11:44:39,4
2,Bing,Compadres,Comp,compass learning,2016-05-02 11:44:39,4
3,Bing,Compadres,Comp,compass bank,2016-05-02 11:44:39,4
4,Bing,Compadres,Comp,computershare,2016-05-02 11:44:39,4
5,Bing,Compadres,Comp,comptroller of maryland online services,2016-05-02 11:44:39,4
6,Bing,Compadres,Comp,compass.ga.gov,2016-05-02 11:44:39,4
7,Bing,Compadres,Comp,comptroller of md,2016-05-02 11:44:39,4
8,Bing,Compadres,Comp,compuserve,2016-05-02 11:44:39,4
9,Bing,Compadres,Comp,comptia,2016-05-02 11:44:39,4
10,Bing,Compadres,Comp,compass,2016-05-02 11:44:39,4
1,Google,Compadres,Compa,compadres,2016-05-02 11:44:40,5
2,Google,Compadres,Compa,compass rose,2016-05-02 11:44:40,5
3,Google,Compadres,Compa,compass,2016-05-02 11:44:40,5
4,Google,Compadres,Compa,compassion,2016-05-02 11:44:40,5
5,Google,Compadres,Compa,compass coffee,2016-05-02 11:44:40,5
6,Google,Compadres,Compa,compass learning,2016-05-02 11:44:40,5
7,Google,Compadres,Compa,company store,2016-05-02 11:44:40,5
8,Google,Compadres,Compa,compartment syndrome,2016-05-02 11:44:40,5
9,Google,Compadres,Compa,compare and contrast,2016-05-02 11:44:40,5
10,Google,Compadres,Compa,company,2016-05-02 11:44:40,5
1,Bing,Compadres,Compa,compass learning,2016-05-02 11:44:40,5
2,Bing,Compadres,Compa,compass bank,2016-05-02 11:44:40,5
3,Bing,Compadres,Compa,compass.ga.gov,2016-05-02 11:44:40,5
4,Bing,Compadres,Compa,compass,2016-05-02 11:44:40,5
5,Bing,Compadres,Compa,compassion international,2016-05-02 11:44:40,5
6,Bing,Compadres,Compa,compass learning odyssey,2016-05-02 11:44:40,5
7,Bing,Compadres,Compa,compass.state.pa.us,2016-05-02 11:44:40,5
8,Bing,Compadres,Compa,company gun looks,2016-05-02 11:44:40,5
9,Bing,Compadres,Compa,compass pointe golf course,2016-05-02 11:44:40,5
10,Bing,Compadres,Compa,compass 2g,2016-05-02 11:44:40,5
1,Google,Compadres,Compad,compadres,2016-05-02 11:44:40,6
2,Google,Compadres,Compad,compadres movie,2016-05-02 11:44:40,6
3,Google,Compadres,Compad,compadres trailer,2016-05-02 11:44:40,6
4,Google,Compadres,Compad,compadres full movie,2016-05-02 11:44:40,6
5,Google,Compadres,Compad,compadres online,2016-05-02 11:44:40,6
6,Google,Compadres,Compad,compadrazgo,2016-05-02 11:44:40,6
7,Google,Compadres,Compad,compadre en ingles,2016-05-02 11:44:40,6
8,Google,Compadres,Compad,compadre meaning,2016-05-02 11:44:40,6
9,Google,Compadres,Compad,compadre physlets,2016-05-02 11:44:40,6
10,Google,Compadres,Compad,compadres definition,2016-05-02 11:44:40,6
1,Bing,Compadres,Compad,compadres mexican restaurant,2016-05-02 11:44:40,6
2,Bing,Compadres,Compad,compadres,2016-05-02 11:44:40,6
3,Bing,Compadres,Compad,compadres movie,2016-05-02 11:44:40,6
4,Bing,Compadres,Compad,compadre high school,2016-05-02 11:44:40,6
5,Bing,Compadres,Compad,compadres padres,2016-05-02 11:44:40,6
