Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Criminal (2016),Crim,criminal,2016-05-02 11:44:27,4
2,Google,Criminal (2016),Crim,criminal minds,2016-05-02 11:44:27,4
3,Google,Criminal (2016),Crim,crimson peak,2016-05-02 11:44:27,4
4,Google,Criminal (2016),Crim,criminal movie,2016-05-02 11:44:27,4
5,Google,Criminal (2016),Crim,crimea,2016-05-02 11:44:27,4
6,Google,Criminal (2016),Crim,crime and punishment,2016-05-02 11:44:27,4
7,Google,Criminal (2016),Crim,crimean war,2016-05-02 11:44:27,4
8,Google,Criminal (2016),Crim,criminal minds cast,2016-05-02 11:44:27,4
9,Google,Criminal (2016),Crim,criminal minds season 11,2016-05-02 11:44:27,4
10,Google,Criminal (2016),Crim,crimson chin,2016-05-02 11:44:27,4
1,Bing,Criminal (2016),Crim,criminal minds,2016-05-02 11:44:27,4
2,Bing,Criminal (2016),Crim,criminal minds beyond borders,2016-05-02 11:44:27,4
3,Bing,Criminal (2016),Crim,criminal minds cast,2016-05-02 11:44:27,4
4,Bing,Criminal (2016),Crim,crimson trace,2016-05-02 11:44:27,4
5,Bing,Criminal (2016),Crim,crime patrol watch online,2016-05-02 11:44:27,4
6,Bing,Criminal (2016),Crim,crimson peak,2016-05-02 11:44:27,4
7,Bing,Criminal (2016),Crim,crime reports,2016-05-02 11:44:27,4
8,Bing,Criminal (2016),Crim,criminal case,2016-05-02 11:44:27,4
9,Bing,Criminal (2016),Crim,crime news,2016-05-02 11:44:27,4
10,Bing,Criminal (2016),Crim,criminal minds tv show,2016-05-02 11:44:27,4
1,Google,Criminal (2016),Crimi,criminal,2016-05-02 11:44:27,5
2,Google,Criminal (2016),Crimi,criminal minds,2016-05-02 11:44:27,5
3,Google,Criminal (2016),Crimi,criminal movie,2016-05-02 11:44:27,5
4,Google,Criminal (2016),Crimi,criminal minds cast,2016-05-02 11:44:27,5
5,Google,Criminal (2016),Crimi,criminal minds season 11,2016-05-02 11:44:27,5
6,Google,Criminal (2016),Crimi,criminal justice,2016-05-02 11:44:27,5
7,Google,Criminal (2016),Crimi,criminal records,2016-05-02 11:44:27,5
8,Google,Criminal (2016),Crimi,criminology,2016-05-02 11:44:27,5
9,Google,Criminal (2016),Crimi,criminal activities,2016-05-02 11:44:27,5
10,Google,Criminal (2016),Crimi,criminal justice jobs,2016-05-02 11:44:27,5
1,Bing,Criminal (2016),Crimi,criminal minds,2016-05-02 11:44:27,5
2,Bing,Criminal (2016),Crimi,criminal minds beyond borders,2016-05-02 11:44:27,5
3,Bing,Criminal (2016),Crimi,criminal minds cast,2016-05-02 11:44:27,5
4,Bing,Criminal (2016),Crimi,criminal case,2016-05-02 11:44:27,5
5,Bing,Criminal (2016),Crimi,criminal minds tv show,2016-05-02 11:44:27,5
6,Bing,Criminal (2016),Crimi,criminal minds season 11,2016-05-02 11:44:27,5
7,Bing,Criminal (2016),Crimi,criminal case facebook,2016-05-02 11:44:27,5
8,Bing,Criminal (2016),Crimi,criminal case search maryland,2016-05-02 11:44:27,5
9,Bing,Criminal (2016),Crimi,criminal movie,2016-05-02 11:44:27,5
10,Bing,Criminal (2016),Crimi,criminal case game,2016-05-02 11:44:27,5
1,Google,Criminal (2016),Crimin,criminal,2016-05-02 11:44:28,6
2,Google,Criminal (2016),Crimin,criminal minds,2016-05-02 11:44:28,6
3,Google,Criminal (2016),Crimin,criminal movie,2016-05-02 11:44:28,6
4,Google,Criminal (2016),Crimin,criminal minds cast,2016-05-02 11:44:28,6
5,Google,Criminal (2016),Crimin,criminal minds season 11,2016-05-02 11:44:28,6
