Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Spotlight,Spot,spotify,2016-05-02 11:45:12,4
2,Google,Spotlight,Spot,spotlight,2016-05-02 11:45:12,4
3,Google,Spotlight,Spot,spotlight movie,2016-05-02 11:45:12,4
4,Google,Spotlight,Spot,spotify web player,2016-05-02 11:45:12,4
5,Google,Spotlight,Spot,spotsylvania county,2016-05-02 11:45:12,4
6,Google,Spotlight,Spot,spotsylvania mall,2016-05-02 11:45:12,4
7,Google,Spotlight,Spot,spotsylvania,2016-05-02 11:45:12,4
8,Google,Spotlight,Spot,spotify download,2016-05-02 11:45:12,4
9,Google,Spotlight,Spot,spotify premium,2016-05-02 11:45:12,4
10,Google,Spotlight,Spot,spotlight trailer,2016-05-02 11:45:12,4
1,Bing,Spotlight,Spot,spotify,2016-05-02 11:45:12,4
2,Bing,Spotlight,Spot,spotify web player,2016-05-02 11:45:12,4
3,Bing,Spotlight,Spot,spotlight movie,2016-05-02 11:45:12,4
4,Bing,Spotlight,Spot,spotlight,2016-05-02 11:45:12,4
5,Bing,Spotlight,Spot,spotify log in,2016-05-02 11:45:12,4
6,Bing,Spotlight,Spot,spotify download,2016-05-02 11:45:12,4
7,Bing,Spotlight,Spot,spot gold,2016-05-02 11:45:12,4
8,Bing,Spotlight,Spot,spotify web,2016-05-02 11:45:12,4
9,Bing,Spotlight,Spot,spot silver,2016-05-02 11:45:12,4
10,Bing,Spotlight,Spot,spotify online,2016-05-02 11:45:12,4
1,Google,Spotlight,Spotl,spotlight,2016-05-02 11:45:12,5
2,Google,Spotlight,Spotl,spotlight movie,2016-05-02 11:45:12,5
3,Google,Spotlight,Spotl,spotlight trailer,2016-05-02 11:45:12,5
4,Google,Spotlight,Spotl,spotlight cast,2016-05-02 11:45:12,5
5,Google,Spotlight,Spotl,spotlight imdb,2016-05-02 11:45:12,5
6,Google,Spotlight,Spotl,spotluck,2016-05-02 11:45:12,5
7,Google,Spotlight,Spotl,spotlight showtimes,2016-05-02 11:45:12,5
8,Google,Spotlight,Spotl,spotlight rotten tomatoes,2016-05-02 11:45:12,5
9,Google,Spotlight,Spotl,spotlight studio,2016-05-02 11:45:12,5
10,Google,Spotlight,Spotl,spotloan,2016-05-02 11:45:12,5
1,Bing,Spotlight,Spotl,spotlight movie,2016-05-02 11:45:12,5
2,Bing,Spotlight,Spotl,spotlight,2016-05-02 11:45:12,5
3,Bing,Spotlight,Spotl,spotlighters theatre baltimore,2016-05-02 11:45:12,5
4,Bing,Spotlight,Spotl,spotlight trailer,2016-05-02 11:45:12,5
5,Bing,Spotlight,Spotl,spotlight cast,2016-05-02 11:45:12,5
6,Bing,Spotlight,Spotl,spotlight movie showtimes,2016-05-02 11:45:12,5
7,Bing,Spotlight,Spotl,spotlight 29 casino,2016-05-02 11:45:12,5
8,Bing,Spotlight,Spotl,spotlight studio gaithersburg,2016-05-02 11:45:12,5
9,Bing,Spotlight,Spotl,spotluck,2016-05-02 11:45:12,5
