Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,The Boss,The ,the jungle book,2016-05-02 11:44:21,4
2,Google,The Boss,The ,the huntsman winter's war,2016-05-02 11:44:21,4
3,Google,The Boss,The ,the boss,2016-05-02 11:44:21,4
4,Google,The Boss,The ,the revenant,2016-05-02 11:44:21,4
5,Google,The Boss,The ,the big short,2016-05-02 11:44:21,4
6,Google,The Boss,The ,the walking dead,2016-05-02 11:44:21,4
7,Google,The Boss,The ,the division,2016-05-02 11:44:21,4
8,Google,The Boss,The ,the weather channel,2016-05-02 11:44:21,4
9,Google,The Boss,The ,the bachelor,2016-05-02 11:44:21,4
10,Google,The Boss,The ,the good wife,2016-05-02 11:44:21,4
1,Bing,The Boss,The ,the weather channel,2016-05-02 11:44:21,4
2,Bing,The Boss,The ,the washington post,2016-05-02 11:44:21,4
3,Bing,The Boss,The ,the pirate bay,2016-05-02 11:44:21,4
4,Bing,The Boss,The ,the columbia bank,2016-05-02 11:44:21,4
5,Bing,The Boss,The ,the baltimore sun,2016-05-02 11:44:21,4
6,Bing,The Boss,The ,the voice,2016-05-02 11:44:21,4
7,Bing,The Boss,The ,the walking dead,2016-05-02 11:44:21,4
8,Bing,The Boss,The ,theblaze,2016-05-02 11:44:21,4
9,Bing,The Boss,The ,the home depot,2016-05-02 11:44:21,4
10,Bing,The Boss,The ,the masters,2016-05-02 11:44:21,4
1,Google,The Boss,The B,the big short,2016-05-02 11:44:21,5
2,Google,The Boss,The B,the boss,2016-05-02 11:44:21,5
3,Google,The Boss,The B,the bachelor,2016-05-02 11:44:21,5
4,Google,The Boss,The B,the boy,2016-05-02 11:44:21,5
5,Google,The Boss,The B,the blacklist,2016-05-02 11:44:21,5
6,Google,The Boss,The B,the breakfast club,2016-05-02 11:44:21,5
7,Google,The Boss,The B,the boy movie,2016-05-02 11:44:21,5
8,Google,The Boss,The B,the blaze,2016-05-02 11:44:21,5
9,Google,The Boss,The B,the beatles,2016-05-02 11:44:21,5
10,Google,The Boss,The B,the big bang theory,2016-05-02 11:44:21,5
1,Bing,The Boss,The B,the baltimore sun,2016-05-02 11:44:21,5
2,Bing,The Boss,The B,theblaze,2016-05-02 11:44:21,5
3,Bing,The Boss,The B,the bachelor,2016-05-02 11:44:21,5
4,Bing,The Boss,The B,thebaynet,2016-05-02 11:44:21,5
5,Bing,The Boss,The B,the big comfy couch 1 of 1,2016-05-02 11:44:21,5
6,Bing,The Boss,The B,the big short,2016-05-02 11:44:21,5
7,Bing,The Boss,The B,the bold and the beautiful spoilers,2016-05-02 11:44:21,5
8,Bing,The Boss,The B,the bold and the beautiful,2016-05-02 11:44:21,5
9,Bing,The Boss,The B,the bank of glen burnie,2016-05-02 11:44:21,5
10,Bing,The Boss,The B,the blacklist,2016-05-02 11:44:21,5
1,Google,The Boss,The Bo,the boss,2016-05-02 11:44:21,6
2,Google,The Boss,The Bo,the boy,2016-05-02 11:44:21,6
3,Google,The Boss,The Bo,the boy movie,2016-05-02 11:44:21,6
4,Google,The Boss,The Bo,the boss movie,2016-05-02 11:44:21,6
5,Google,The Boss,The Bo,the body shop,2016-05-02 11:44:21,6
6,Google,The Boss,The Bo,the boy trailer,2016-05-02 11:44:21,6
7,Google,The Boss,The Bo,the book thief,2016-05-02 11:44:21,6
8,Google,The Boss,The Bo,the boondocks,2016-05-02 11:44:21,6
9,Google,The Boss,The Bo,the boy in the striped pajamas,2016-05-02 11:44:21,6
10,Google,The Boss,The Bo,the boy next door,2016-05-02 11:44:21,6
1,Bing,The Boss,The Bo,the bold and the beautiful spoilers,2016-05-02 11:44:21,6
2,Bing,The Boss,The Bo,the bold and the beautiful,2016-05-02 11:44:21,6
3,Bing,The Boss,The Bo,the boneyard,2016-05-02 11:44:21,6
4,Bing,The Boss,The Bo,the body shop,2016-05-02 11:44:21,6
5,Bing,The Boss,The Bo,the boss,2016-05-02 11:44:21,6
6,Bing,The Boss,The Bo,the boston globe,2016-05-02 11:44:21,6
7,Bing,The Boss,The Bo,the boss movie,2016-05-02 11:44:21,6
8,Bing,The Boss,The Bo,the bold and the beautiful daily updates,2016-05-02 11:44:21,6
9,Bing,The Boss,The Bo,the boss trailer,2016-05-02 11:44:21,6
10,Bing,The Boss,The Bo,the boston channel,2016-05-02 11:44:21,6
1,Google,The Boss,The Bos,the boss,2016-05-02 11:44:22,7
2,Google,The Boss,The Bos,the boss movie,2016-05-02 11:44:22,7
3,Google,The Boss,The Bos,the boss review,2016-05-02 11:44:22,7
4,Google,The Boss,The Bos,the boss full movie,2016-05-02 11:44:22,7
5,Google,The Boss,The Bos,the boston tea party,2016-05-02 11:44:22,7
6,Google,The Boss,The Bos,the boss trailer,2016-05-02 11:44:22,7
7,Google,The Boss,The Bos,the boston massacre,2016-05-02 11:44:22,7
8,Google,The Boss,The Bos,the boss group,2016-05-02 11:44:22,7
9,Google,The Boss,The Bos,the boston globe,2016-05-02 11:44:22,7
10,Google,The Boss,The Bos,the boston consulting group,2016-05-02 11:44:22,7
1,Bing,The Boss,The Bos,the boss,2016-05-02 11:44:22,7
2,Bing,The Boss,The Bos,the boston globe,2016-05-02 11:44:22,7
3,Bing,The Boss,The Bos,the boss movie,2016-05-02 11:44:22,7
4,Bing,The Boss,The Bos,the boss trailer,2016-05-02 11:44:22,7
5,Bing,The Boss,The Bos,the boston channel,2016-05-02 11:44:22,7
6,Bing,The Boss,The Bos,the boston herald,2016-05-02 11:44:22,7
7,Bing,The Boss,The Bos,the boston globe obituaries,2016-05-02 11:44:22,7
8,Bing,The Boss,The Bos,the boss melissa mccarthy,2016-05-02 11:44:22,7
9,Bing,The Boss,The Bos,the boss group,2016-05-02 11:44:22,7
10,Bing,The Boss,The Bos,the boston tea party,2016-05-02 11:44:22,7
