Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Criminal,Crim,criminal,2016-05-02 08:11:29,4
2,Google,Criminal,Crim,criminal minds,2016-05-02 08:11:29,4
3,Google,Criminal,Crim,crimson peak,2016-05-02 08:11:29,4
4,Google,Criminal,Crim,criminal movie,2016-05-02 08:11:29,4
5,Google,Criminal,Crim,crimea,2016-05-02 08:11:29,4
6,Google,Criminal,Crim,crime and punishment,2016-05-02 08:11:29,4
7,Google,Criminal,Crim,crimean war,2016-05-02 08:11:29,4
8,Google,Criminal,Crim,criminal minds cast,2016-05-02 08:11:29,4
9,Google,Criminal,Crim,criminal minds season 11,2016-05-02 08:11:29,4
10,Google,Criminal,Crim,crimson chin,2016-05-02 08:11:29,4
1,Bing,Criminal,Crim,criminal minds,2016-05-02 08:11:29,4
2,Bing,Criminal,Crim,criminal minds beyond borders,2016-05-02 08:11:29,4
3,Bing,Criminal,Crim,criminal minds cast,2016-05-02 08:11:29,4
4,Bing,Criminal,Crim,crime reports,2016-05-02 08:11:29,4
5,Bing,Criminal,Crim,crimson trace,2016-05-02 08:11:29,4
6,Bing,Criminal,Crim,crime patrol watch online,2016-05-02 08:11:29,4
7,Bing,Criminal,Crim,crimson peak,2016-05-02 08:11:29,4
8,Bing,Criminal,Crim,criminal case,2016-05-02 08:11:29,4
9,Bing,Criminal,Crim,crime news,2016-05-02 08:11:29,4
10,Bing,Criminal,Crim,criminal minds tv show,2016-05-02 08:11:29,4
1,Google,Criminal,Crimi,criminal,2016-05-02 08:11:29,5
2,Google,Criminal,Crimi,criminal minds,2016-05-02 08:11:29,5
3,Google,Criminal,Crimi,criminal movie,2016-05-02 08:11:29,5
4,Google,Criminal,Crimi,criminal minds cast,2016-05-02 08:11:29,5
5,Google,Criminal,Crimi,criminal minds season 11,2016-05-02 08:11:29,5
6,Google,Criminal,Crimi,criminal justice,2016-05-02 08:11:29,5
7,Google,Criminal,Crimi,criminal records,2016-05-02 08:11:29,5
8,Google,Criminal,Crimi,criminology,2016-05-02 08:11:29,5
9,Google,Criminal,Crimi,criminal activities,2016-05-02 08:11:29,5
10,Google,Criminal,Crimi,criminal justice jobs,2016-05-02 08:11:29,5
1,Bing,Criminal,Crimi,criminal minds,2016-05-02 08:11:29,5
2,Bing,Criminal,Crimi,criminal minds beyond borders,2016-05-02 08:11:29,5
3,Bing,Criminal,Crimi,criminal minds cast,2016-05-02 08:11:29,5
4,Bing,Criminal,Crimi,criminal case,2016-05-02 08:11:29,5
5,Bing,Criminal,Crimi,criminal minds tv show,2016-05-02 08:11:29,5
6,Bing,Criminal,Crimi,criminal minds season 11,2016-05-02 08:11:29,5
7,Bing,Criminal,Crimi,criminal case facebook,2016-05-02 08:11:29,5
8,Bing,Criminal,Crimi,criminal justice center philadelphia,2016-05-02 08:11:29,5
9,Bing,Criminal,Crimi,criminal case search maryland,2016-05-02 08:11:29,5
10,Bing,Criminal,Crimi,criminal movie,2016-05-02 08:11:29,5
1,Google,Criminal,Crimin,criminal,2016-05-02 08:11:29,6
2,Google,Criminal,Crimin,criminal minds,2016-05-02 08:11:29,6
3,Google,Criminal,Crimin,criminal movie,2016-05-02 08:11:29,6
4,Google,Criminal,Crimin,criminal minds cast,2016-05-02 08:11:29,6
5,Google,Criminal,Crimin,criminal minds season 11,2016-05-02 08:11:29,6
6,Google,Criminal,Crimin,criminal justice,2016-05-02 08:11:29,6
7,Google,Criminal,Crimin,criminal records,2016-05-02 08:11:29,6
8,Google,Criminal,Crimin,criminology,2016-05-02 08:11:29,6
9,Google,Criminal,Crimin,criminal activities,2016-05-02 08:11:29,6
10,Google,Criminal,Crimin,criminal justice jobs,2016-05-02 08:11:29,6
1,Bing,Criminal,Crimin,criminal minds,2016-05-02 08:11:29,6
2,Bing,Criminal,Crimin,criminal minds beyond borders,2016-05-02 08:11:29,6
3,Bing,Criminal,Crimin,criminal minds cast,2016-05-02 08:11:29,6
4,Bing,Criminal,Crimin,criminal case,2016-05-02 08:11:29,6
5,Bing,Criminal,Crimin,criminal minds tv show,2016-05-02 08:11:29,6
6,Bing,Criminal,Crimin,criminal minds season 11,2016-05-02 08:11:29,6
7,Bing,Criminal,Crimin,criminal case facebook,2016-05-02 08:11:29,6
8,Bing,Criminal,Crimin,criminal justice center philadelphia,2016-05-02 08:11:29,6
9,Bing,Criminal,Crimin,criminal case search maryland,2016-05-02 08:11:29,6
10,Bing,Criminal,Crimin,criminal movie,2016-05-02 08:11:29,6
1,Google,Criminal,Crimina,criminal,2016-05-02 08:11:30,7
2,Google,Criminal,Crimina,criminal minds,2016-05-02 08:11:30,7
3,Google,Criminal,Crimina,criminal movie,2016-05-02 08:11:30,7
4,Google,Criminal,Crimina,criminal minds cast,2016-05-02 08:11:30,7
5,Google,Criminal,Crimina,criminal minds season 11,2016-05-02 08:11:30,7
6,Google,Criminal,Crimina,criminal justice,2016-05-02 08:11:30,7
7,Google,Criminal,Crimina,criminal records,2016-05-02 08:11:30,7
