Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Keanu,Kean,keanu,2016-05-02 08:11:10,4
2,Google,Keanu,Kean,keanu reeves,2016-05-02 08:11:10,4
3,Google,Keanu,Kean,keanu movie,2016-05-02 08:11:10,4
4,Google,Keanu,Kean,keanu trailer,2016-05-02 08:11:10,4
5,Google,Keanu,Kean,keanu review,2016-05-02 08:11:10,4
6,Google,Keanu,Kean,keanu rotten tomatoes,2016-05-02 08:11:10,4
7,Google,Keanu,Kean,keany produce,2016-05-02 08:11:10,4
8,Google,Keanu,Kean,keane,2016-05-02 08:11:10,4
9,Google,Keanu,Kean,kean university,2016-05-02 08:11:10,4
10,Google,Keanu,Kean,keanu neal,2016-05-02 08:11:10,4
1,Bing,Keanu,Kean,keany produce,2016-05-02 08:11:10,4
2,Bing,Keanu,Kean,keanu reeves,2016-05-02 08:11:10,4
3,Bing,Keanu,Kean,kean university,2016-05-02 08:11:10,4
4,Bing,Keanu,Kean,keanu reeves movies,2016-05-02 08:11:10,4
5,Bing,Keanu,Kean,kean email,2016-05-02 08:11:10,4
6,Bing,Keanu,Kean,kean.edu,2016-05-02 08:11:10,4
7,Bing,Keanu,Kean,keanu,2016-05-02 08:11:10,4
8,Bing,Keanu,Kean,kean,2016-05-02 08:11:10,4
9,Bing,Keanu,Kean,kean wise,2016-05-02 08:11:10,4
10,Bing,Keanu,Kean,keanyproduce.com,2016-05-02 08:11:10,4
