Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Triple 9,Trip,tripadvisor,2016-05-02 08:02:58,4
2,Google,Triple 9,Trip,triple 9,2016-05-02 08:02:58,4
3,Google,Triple 9,Trip,trip planner,2016-05-02 08:02:58,4
4,Google,Triple 9,Trip,tripper bus,2016-05-02 08:02:58,4
5,Google,Triple 9,Trip,triple h,2016-05-02 08:02:58,4
6,Google,Triple 9,Trip,triple a,2016-05-02 08:02:58,4
7,Google,Triple 9,Trip,triple crown,2016-05-02 08:02:58,4
8,Google,Triple 9,Trip,tripe,2016-05-02 08:02:58,4
9,Google,Triple 9,Trip,triple sec,2016-05-02 08:02:58,4
10,Google,Triple 9,Trip,tripadvisor dc,2016-05-02 08:02:58,4
1,Bing,Triple 9,Trip,tripadvisor,2016-05-02 08:02:58,4
2,Bing,Triple 9,Trip,tripadvisor.com,2016-05-02 08:02:58,4
3,Bing,Triple 9,Trip,trip planner,2016-05-02 08:02:58,4
4,Bing,Triple 9,Trip,tripper bus,2016-05-02 08:02:58,4
5,Bing,Triple 9,Trip,trips,2016-05-02 08:02:58,4
6,Bing,Triple 9,Trip,tripcheck,2016-05-02 08:02:58,4
7,Bing,Triple 9,Trip,tripcase,2016-05-02 08:02:58,4
8,Bing,Triple 9,Trip,triple h,2016-05-02 08:02:58,4
9,Bing,Triple 9,Trip,triple 9,2016-05-02 08:02:58,4
10,Bing,Triple 9,Trip,tripadvisor.com hotel,2016-05-02 08:02:58,4
1,Google,Triple 9,Tripl,triple 9,2016-05-02 08:02:58,5
2,Google,Triple 9,Tripl,triple h,2016-05-02 08:02:58,5
3,Google,Triple 9,Tripl,triple a,2016-05-02 08:02:58,5
4,Google,Triple 9,Tripl,triple crown,2016-05-02 08:02:58,5
5,Google,Triple 9,Tripl,triple sec,2016-05-02 08:02:58,5
6,Google,Triple 9,Tripl,triple entente,2016-05-02 08:02:58,5
7,Google,Triple 9,Tripl,triple alliance,2016-05-02 08:02:58,5
8,Google,Triple 9,Tripl,triple canopy,2016-05-02 08:02:58,5
9,Google,Triple 9,Tripl,triple g,2016-05-02 08:02:58,5
10,Google,Triple 9,Tripl,triple b fresh,2016-05-02 08:02:58,5
1,Bing,Triple 9,Tripl,triple h,2016-05-02 08:02:58,5
