Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Pandemic,Pand,pandora,2016-05-13 11:34:48,4
2,Google,Pandemic,Pand,panda,2016-05-13 11:34:48,4
3,Google,Pandemic,Pand,panda lyrics,2016-05-13 11:34:48,4
4,Google,Pandemic,Pand,panda express,2016-05-13 11:34:48,4
5,Google,Pandemic,Pand,panda video,2016-05-13 11:34:48,4
6,Google,Pandemic,Pand,panda cam,2016-05-13 11:34:48,4
7,Google,Pandemic,Pand,pandora charms,2016-05-13 11:34:48,4
8,Google,Pandemic,Pand,pandora rings,2016-05-13 11:34:48,4
9,Google,Pandemic,Pand,pandora jewelry,2016-05-13 11:34:48,4
10,Google,Pandemic,Pand,pandemic,2016-05-13 11:34:48,4
1,Bing,Pandemic,Pand,pandora,2016-05-13 11:34:48,4
2,Bing,Pandemic,Pand,pandora radio,2016-05-13 11:34:48,4
3,Bing,Pandemic,Pand,pandora radio listen to free internet radio,2016-05-13 11:34:48,4
4,Bing,Pandemic,Pand,pandora.com,2016-05-13 11:34:48,4
5,Bing,Pandemic,Pand,panda express,2016-05-13 11:34:48,4
6,Bing,Pandemic,Pand,pandora internet radio,2016-05-13 11:34:48,4
7,Bing,Pandemic,Pand,panda cam,2016-05-13 11:34:48,4
8,Bing,Pandemic,Pand,pandora jewelry,2016-05-13 11:34:48,4
9,Bing,Pandemic,Pand,panda lyrics,2016-05-13 11:34:48,4
10,Bing,Pandemic,Pand,panda desiigner,2016-05-13 11:34:48,4
1,Google,Pandemic,Pande,pandemic,2016-05-13 11:34:48,5
2,Google,Pandemic,Pande,pandemonium,2016-05-13 11:34:48,5
3,Google,Pandemic,Pande,pandering,2016-05-13 11:34:48,5
4,Google,Pandemic,Pande,pandemic definition,2016-05-13 11:34:48,5
5,Google,Pandemic,Pande,pandemic legacy,2016-05-13 11:34:48,5
6,Google,Pandemic,Pande,pandemic board game,2016-05-13 11:34:48,5
7,Google,Pandemic,Pande,pandemic 2,2016-05-13 11:34:48,5
8,Google,Pandemic,Pande,pandemic game,2016-05-13 11:34:48,5
9,Google,Pandemic,Pande,pandora,2016-05-13 11:34:48,5
10,Google,Pandemic,Pande,pandemic trailer,2016-05-13 11:34:48,5
1,Bing,Pandemic,Pande,pandemic,2016-05-13 11:34:48,5
2,Bing,Pandemic,Pande,pandemic 2,2016-05-13 11:34:48,5
3,Bing,Pandemic,Pande,pandemic movie,2016-05-13 11:34:48,5
4,Bing,Pandemic,Pande,pandering,2016-05-13 11:34:48,5
5,Bing,Pandemic,Pande,pandemic trailer,2016-05-13 11:34:48,5
6,Bing,Pandemic,Pande,pandora,2016-05-13 11:34:48,5
7,Bing,Pandemic,Pande,pandemic game,2016-05-13 11:34:48,5
8,Bing,Pandemic,Pande,pandemic 2016,2016-05-13 11:34:48,5
9,Bing,Pandemic,Pande,pandemonium,2016-05-13 11:34:48,5
10,Bing,Pandemic,Pande,pandering definition,2016-05-13 11:34:48,5
1,Google,Pandemic,Pandem,pandemic,2016-05-13 11:34:48,6
2,Google,Pandemic,Pandem,pandemonium,2016-05-13 11:34:48,6
3,Google,Pandemic,Pandem,pandemic definition,2016-05-13 11:34:48,6
4,Google,Pandemic,Pandem,pandemic legacy,2016-05-13 11:34:48,6
5,Google,Pandemic,Pandem,pandemic board game,2016-05-13 11:34:48,6
6,Google,Pandemic,Pandem,pandemic 2,2016-05-13 11:34:48,6
7,Google,Pandemic,Pandem,pandemic game,2016-05-13 11:34:48,6
8,Google,Pandemic,Pandem,pandemic trailer,2016-05-13 11:34:48,6
9,Google,Pandemic,Pandem,pandemic legacy season 2,2016-05-13 11:34:48,6
10,Google,Pandemic,Pandem,pandemic 3,2016-05-13 11:34:48,6
1,Bing,Pandemic,Pandem,pandemic,2016-05-13 11:34:48,6
