Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Star Wars: The Force Awakens,Star,starbucks,2016-05-13 11:34:28,4
2,Google,Star Wars: The Force Awakens,Star,star wars,2016-05-13 11:34:28,4
3,Google,Star Wars: The Force Awakens,Star,star wars the force awakens,2016-05-13 11:34:28,4
4,Google,Star Wars: The Force Awakens,Star,starfall,2016-05-13 11:34:28,4
5,Google,Star Wars: The Force Awakens,Star,starbucks menu,2016-05-13 11:34:28,4
6,Google,Star Wars: The Force Awakens,Star,star wars battlefront,2016-05-13 11:34:28,4
7,Google,Star Wars: The Force Awakens,Star,stardew valley,2016-05-13 11:34:28,4
8,Google,Star Wars: The Force Awakens,Star,star wars episode 8,2016-05-13 11:34:28,4
9,Google,Star Wars: The Force Awakens,Star,star wars rebels,2016-05-13 11:34:28,4
10,Google,Star Wars: The Force Awakens,Star,star trek,2016-05-13 11:34:28,4
1,Bing,Star Wars: The Force Awakens,Star,starfall,2016-05-13 11:34:28,4
2,Bing,Star Wars: The Force Awakens,Star,starbucks,2016-05-13 11:34:28,4
3,Bing,Star Wars: The Force Awakens,Star,stardoll,2016-05-13 11:34:28,4
4,Bing,Star Wars: The Force Awakens,Star,star tribune,2016-05-13 11:34:28,4
5,Bing,Star Wars: The Force Awakens,Star,star democrat,2016-05-13 11:34:28,4
6,Bing,Star Wars: The Force Awakens,Star,startpage,2016-05-13 11:34:28,4
7,Bing,Star Wars: The Force Awakens,Star,star wars,2016-05-13 11:34:28,4
8,Bing,Star Wars: The Force Awakens,Star,starfall.com for kids,2016-05-13 11:34:28,4
9,Bing,Star Wars: The Force Awakens,Star,star wars the force awakens,2016-05-13 11:34:28,4
10,Bing,Star Wars: The Force Awakens,Star,star.gr,2016-05-13 11:34:28,4
1,Google,Star Wars: The Force Awakens,Star ,star wars,2016-05-13 11:34:28,5
2,Google,Star Wars: The Force Awakens,Star ,star wars the force awakens,2016-05-13 11:34:28,5
3,Google,Star Wars: The Force Awakens,Star ,star wars battlefront,2016-05-13 11:34:28,5
4,Google,Star Wars: The Force Awakens,Star ,star wars episode 8,2016-05-13 11:34:28,5
5,Google,Star Wars: The Force Awakens,Star ,star wars rebels,2016-05-13 11:34:28,5
6,Google,Star Wars: The Force Awakens,Star ,star trek,2016-05-13 11:34:28,5
7,Google,Star Wars: The Force Awakens,Star ,star citizen,2016-05-13 11:34:28,5
8,Google,Star Wars: The Force Awakens,Star ,star wars characters,2016-05-13 11:34:28,5
9,Google,Star Wars: The Force Awakens,Star ,star alliance,2016-05-13 11:34:28,5
10,Google,Star Wars: The Force Awakens,Star ,star trek online,2016-05-13 11:34:28,5
1,Bing,Star Wars: The Force Awakens,Star ,star tribune,2016-05-13 11:34:28,5
2,Bing,Star Wars: The Force Awakens,Star ,star democrat,2016-05-13 11:34:28,5
