Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Elvis & Nixon,Elvi,elvis presley,2016-05-02 00:12:47,4
2,Google,Elvis & Nixon,Elvi,elvis duran,2016-05-02 00:12:47,4
3,Google,Elvis & Nixon,Elvi,elvira,2016-05-02 00:12:47,4
4,Google,Elvis & Nixon,Elvi,elvis and nixon,2016-05-02 00:12:47,4
5,Google,Elvis & Nixon,Elvi,elvis costello,2016-05-02 00:12:47,4
6,Google,Elvis & Nixon,Elvi,elvis presley songs,2016-05-02 00:12:47,4
7,Google,Elvis & Nixon,Elvi,elvis presley death,2016-05-02 00:12:47,4
8,Google,Elvis & Nixon,Elvi,elvis songs,2016-05-02 00:12:47,4
9,Google,Elvis & Nixon,Elvi,elvin hayes,2016-05-02 00:12:47,4
10,Google,Elvis & Nixon,Elvi,elvis nolasco,2016-05-02 00:12:47,4
1,Bing,Elvis & Nixon,Elvi,elvis presley,2016-05-02 00:12:47,4
2,Bing,Elvis & Nixon,Elvi,elvis duran,2016-05-02 00:12:47,4
3,Bing,Elvis & Nixon,Elvi,elvis duran and the morning show,2016-05-02 00:12:47,4
4,Bing,Elvis & Nixon,Elvi,elvis,2016-05-02 00:12:47,4
5,Bing,Elvis & Nixon,Elvi,elvira,2016-05-02 00:12:47,4
6,Bing,Elvis & Nixon,Elvi,elvis presley songs,2016-05-02 00:12:47,4
7,Bing,Elvis & Nixon,Elvi,elvis presley movies,2016-05-02 00:12:47,4
8,Bing,Elvis & Nixon,Elvi,elvis costello,2016-05-02 00:12:47,4
9,Bing,Elvis & Nixon,Elvi,elvis cinemas,2016-05-02 00:12:47,4
10,Bing,Elvis & Nixon,Elvi,elvis presley biography,2016-05-02 00:12:47,4
1,Google,Elvis & Nixon,Elvis,elvis presley,2016-05-02 00:12:47,5
2,Google,Elvis & Nixon,Elvis,elvis duran,2016-05-02 00:12:47,5
3,Google,Elvis & Nixon,Elvis,elvis and nixon,2016-05-02 00:12:47,5
