Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Sing Street,Sing,singapore,2016-05-02 00:12:36,4
2,Google,Sing Street,Sing,sing street,2016-05-02 00:12:36,4
3,Google,Sing Street,Sing,singer mann,2016-05-02 00:12:36,4
4,Google,Sing Street,Sing,singulair,2016-05-02 00:12:36,4
5,Google,Sing Street,Sing,single,2016-05-02 00:12:36,4
6,Google,Sing Street,Sing,single ladies,2016-05-02 00:12:36,4
7,Google,Sing Street,Sing,singapore airlines,2016-05-02 00:12:36,4
8,Google,Sing Street,Sing,singing in the rain,2016-05-02 00:12:36,4
9,Google,Sing Street,Sing,sing,2016-05-02 00:12:36,4
10,Google,Sing Street,Sing,singularity,2016-05-02 00:12:36,4
1,Bing,Sing Street,Sing,sing facebook,2016-05-02 00:12:36,4
2,Bing,Sing Street,Sing,singapore airlines,2016-05-02 00:12:36,4
3,Bing,Sing Street,Sing,singleton funeral home glen burnie,2016-05-02 00:12:36,4
4,Bing,Sing Street,Sing,singapore,2016-05-02 00:12:36,4
5,Bing,Sing Street,Sing,singleton funeral home,2016-05-02 00:12:36,4
6,Bing,Sing Street,Sing,singer vanity,2016-05-02 00:12:36,4
7,Bing,Sing Street,Sing,singapore pools,2016-05-02 00:12:36,4
8,Bing,Sing Street,Sing,sign in,2016-05-02 00:12:36,4
9,Bing,Sing Street,Sing,singulair,2016-05-02 00:12:36,4
10,Bing,Sing Street,Sing,single action shooting society,2016-05-02 00:12:36,4
1,Google,Sing Street,Sing ,sing street,2016-05-02 00:12:37,5
2,Google,Sing Street,Sing ,sing street review,2016-05-02 00:12:37,5
3,Google,Sing Street,Sing ,sing sing sing,2016-05-02 00:12:37,5
4,Google,Sing Street,Sing ,sing trailer,2016-05-02 00:12:37,5
5,Google,Sing Street,Sing ,sing movie,2016-05-02 00:12:37,5
6,Google,Sing Street,Sing ,sing a song,2016-05-02 00:12:37,5
7,Google,Sing Street,Sing ,sing street soundtrack,2016-05-02 00:12:37,5
8,Google,Sing Street,Sing ,sing lyrics,2016-05-02 00:12:37,5
9,Google,Sing Street,Sing ,sign in,2016-05-02 00:12:37,5
10,Google,Sing Street,Sing ,sing street trailer,2016-05-02 00:12:37,5
1,Bing,Sing Street,Sing ,sing facebook,2016-05-02 00:12:37,5
2,Bing,Sing Street,Sing ,sign in,2016-05-02 00:12:37,5
3,Bing,Sing Street,Sing ,sing street,2016-05-02 00:12:37,5
4,Bing,Sing Street,Sing ,sing me back home merle haggard,2016-05-02 00:12:37,5
5,Bing,Sing Street,Sing ,sing tao daily,2016-05-02 00:12:37,5
6,Bing,Sing Street,Sing ,sing tao,2016-05-02 00:12:37,5
7,Bing,Sing Street,Sing ,sing up facebook,2016-05-02 00:12:37,5
8,Bing,Sing Street,Sing ,sing and dance with barney,2016-05-02 00:12:37,5
9,Bing,Sing Street,Sing ,sing sing prison,2016-05-02 00:12:37,5
10,Bing,Sing Street,Sing ,singsnap,2016-05-02 00:12:37,5
1,Google,Sing Street,Sing S,sing street,2016-05-02 00:12:37,6
2,Google,Sing Street,Sing S,sing street review,2016-05-02 00:12:37,6
3,Google,Sing Street,Sing S,sing sing sing,2016-05-02 00:12:37,6
4,Google,Sing Street,Sing S,sing street soundtrack,2016-05-02 00:12:37,6
5,Google,Sing Street,Sing S,sing street trailer,2016-05-02 00:12:37,6
6,Google,Sing Street,Sing S,sing sing prison,2016-05-02 00:12:37,6
7,Google,Sing Street,Sing S,sing smule,2016-05-02 00:12:37,6
8,Google,Sing Street,Sing S,sing sing sing lyrics,2016-05-02 00:12:37,6
9,Google,Sing Street,Sing S,sing strong,2016-05-02 00:12:37,6
10,Google,Sing Street,Sing S,sing sing a song,2016-05-02 00:12:37,6
1,Bing,Sing Street,Sing S,sing street,2016-05-02 00:12:37,6
2,Bing,Sing Street,Sing S,sing sing prison,2016-05-02 00:12:37,6
3,Bing,Sing Street,Sing S,singsnap,2016-05-02 00:12:37,6
4,Bing,Sing Street,Sing S,sing sing sing,2016-05-02 00:12:37,6
5,Bing,Sing Street,Sing S,sing street trailer,2016-05-02 00:12:37,6
6,Bing,Sing Street,Sing S,sing smule,2016-05-02 00:12:37,6
7,Bing,Sing Street,Sing S,sing sing,2016-05-02 00:12:37,6
8,Bing,Sing Street,Sing S,sing street movie,2016-05-02 00:12:37,6
9,Bing,Sing Street,Sing S,sing spell read and write,2016-05-02 00:12:37,6
10,Bing,Sing Street,Sing S,sing sing sing benny goodman,2016-05-02 00:12:37,6
1,Google,Sing Street,Sing St,sing street,2016-05-02 00:12:37,7
2,Google,Sing Street,Sing St,sing street soundtrack,2016-05-02 00:12:37,7
3,Google,Sing Street,Sing St,sing street trailer,2016-05-02 00:12:37,7
4,Google,Sing Street,Sing St,sing strong,2016-05-02 00:12:37,7
5,Google,Sing Street,Sing St,sing street review,2016-05-02 00:12:37,7
6,Google,Sing Street,Sing St,sing strong dc,2016-05-02 00:12:37,7
7,Google,Sing Street,Sing St,singstar,2016-05-02 00:12:37,7
8,Google,Sing Street,Sing St,sing street trailer song,2016-05-02 00:12:37,7
9,Google,Sing Street,Sing St,sing street song,2016-05-02 00:12:37,7
10,Google,Sing Street,Sing St,sing street cast,2016-05-02 00:12:37,7
1,Bing,Sing Street,Sing St,sing street,2016-05-02 00:12:37,7
2,Bing,Sing Street,Sing St,sing street trailer,2016-05-02 00:12:37,7
3,Bing,Sing Street,Sing St,sing street movie,2016-05-02 00:12:37,7
4,Bing,Sing Street,Sing St,sing street soundtrack,2016-05-02 00:12:37,7
5,Bing,Sing Street,Sing St,sing street movie review,2016-05-02 00:12:37,7
6,Bing,Sing Street,Sing St,sing street cast,2016-05-02 00:12:37,7
7,Bing,Sing Street,Sing St,sing street movie trailer,2016-05-02 00:12:37,7
8,Bing,Sing Street,Sing St,sing street release date,2016-05-02 00:12:37,7
9,Bing,Sing Street,Sing St,sing street review,2016-05-02 00:12:37,7
10,Bing,Sing Street,Sing St,sing street imdb,2016-05-02 00:12:37,7
1,Google,Sing Street,Sing Str,sing street,2016-05-02 00:12:38,8
2,Google,Sing Street,Sing Str,sing street soundtrack,2016-05-02 00:12:38,8
3,Google,Sing Street,Sing Str,sing street trailer,2016-05-02 00:12:38,8
4,Google,Sing Street,Sing Str,sing strong,2016-05-02 00:12:38,8
5,Google,Sing Street,Sing Str,sing street review,2016-05-02 00:12:38,8
6,Google,Sing Street,Sing Str,sing strong dc,2016-05-02 00:12:38,8
7,Google,Sing Street,Sing Str,sing street trailer song,2016-05-02 00:12:38,8
8,Google,Sing Street,Sing Str,sing street song,2016-05-02 00:12:38,8
9,Google,Sing Street,Sing Str,sing street cast,2016-05-02 00:12:38,8
10,Google,Sing Street,Sing Str,sing street 2016,2016-05-02 00:12:38,8
1,Bing,Sing Street,Sing Str,sing street,2016-05-02 00:12:38,8
2,Bing,Sing Street,Sing Str,sing street trailer,2016-05-02 00:12:38,8
3,Bing,Sing Street,Sing Str,sing street movie,2016-05-02 00:12:38,8
4,Bing,Sing Street,Sing Str,sing street soundtrack,2016-05-02 00:12:38,8
5,Bing,Sing Street,Sing Str,sing street movie review,2016-05-02 00:12:38,8
6,Bing,Sing Street,Sing Str,sing street cast,2016-05-02 00:12:38,8
7,Bing,Sing Street,Sing Str,sing street movie trailer,2016-05-02 00:12:38,8
8,Bing,Sing Street,Sing Str,sing street release date,2016-05-02 00:12:38,8
9,Bing,Sing Street,Sing Str,sing street review,2016-05-02 00:12:38,8
10,Bing,Sing Street,Sing Str,sing street imdb,2016-05-02 00:12:38,8
1,Google,Sing Street,Sing Stre,sing street,2016-05-02 00:12:38,9
2,Google,Sing Street,Sing Stre,sing street soundtrack,2016-05-02 00:12:38,9
3,Google,Sing Street,Sing Stre,sing street trailer,2016-05-02 00:12:38,9
4,Google,Sing Street,Sing Stre,sing street review,2016-05-02 00:12:38,9
5,Google,Sing Street,Sing Stre,sing street trailer song,2016-05-02 00:12:38,9
6,Google,Sing Street,Sing Stre,sing street song,2016-05-02 00:12:38,9
7,Google,Sing Street,Sing Stre,sing street cast,2016-05-02 00:12:38,9
8,Google,Sing Street,Sing Stre,sing street 2016,2016-05-02 00:12:38,9
9,Google,Sing Street,Sing Stre,sing street rotten tomatoes,2016-05-02 00:12:38,9
10,Google,Sing Street,Sing Stre,sing street movie soundtrack,2016-05-02 00:12:38,9
1,Bing,Sing Street,Sing Stre,sing street,2016-05-02 00:12:38,9
2,Bing,Sing Street,Sing Stre,sing street trailer,2016-05-02 00:12:38,9
3,Bing,Sing Street,Sing Stre,sing street movie,2016-05-02 00:12:38,9
4,Bing,Sing Street,Sing Stre,sing street soundtrack,2016-05-02 00:12:38,9
5,Bing,Sing Street,Sing Stre,sing street movie review,2016-05-02 00:12:38,9
6,Bing,Sing Street,Sing Stre,sing street cast,2016-05-02 00:12:38,9
7,Bing,Sing Street,Sing Stre,sing street movie trailer,2016-05-02 00:12:38,9
8,Bing,Sing Street,Sing Stre,sing street release date,2016-05-02 00:12:38,9
9,Bing,Sing Street,Sing Stre,sing street review,2016-05-02 00:12:38,9
10,Bing,Sing Street,Sing Stre,sing street imdb,2016-05-02 00:12:38,9
1,Google,Sing Street,Sing Stree,sing street,2016-05-02 00:12:38,10
2,Google,Sing Street,Sing Stree,sing street soundtrack,2016-05-02 00:12:38,10
3,Google,Sing Street,Sing Stree,sing street trailer,2016-05-02 00:12:38,10
4,Google,Sing Street,Sing Stree,sing street review,2016-05-02 00:12:38,10
5,Google,Sing Street,Sing Stree,sing street trailer song,2016-05-02 00:12:38,10
6,Google,Sing Street,Sing Stree,sing street song,2016-05-02 00:12:38,10
7,Google,Sing Street,Sing Stree,sing street cast,2016-05-02 00:12:38,10
8,Google,Sing Street,Sing Stree,sing street 2016,2016-05-02 00:12:38,10
9,Google,Sing Street,Sing Stree,sing street rotten tomatoes,2016-05-02 00:12:38,10
10,Google,Sing Street,Sing Stree,sing street movie soundtrack,2016-05-02 00:12:38,10
1,Bing,Sing Street,Sing Stree,sing street,2016-05-02 00:12:38,10
2,Bing,Sing Street,Sing Stree,sing street trailer,2016-05-02 00:12:38,10
3,Bing,Sing Street,Sing Stree,sing street movie,2016-05-02 00:12:38,10
4,Bing,Sing Street,Sing Stree,sing street soundtrack,2016-05-02 00:12:38,10
5,Bing,Sing Street,Sing Stree,sing street movie review,2016-05-02 00:12:38,10
6,Bing,Sing Street,Sing Stree,sing street cast,2016-05-02 00:12:38,10
7,Bing,Sing Street,Sing Stree,sing street movie trailer,2016-05-02 00:12:38,10
8,Bing,Sing Street,Sing Stree,sing street release date,2016-05-02 00:12:38,10
9,Bing,Sing Street,Sing Stree,sing street review,2016-05-02 00:12:38,10
10,Bing,Sing Street,Sing Stree,sing street imdb,2016-05-02 00:12:38,10
