Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,Mr. Right,Mr. ,mr. robot,2016-04-19 16:50:03,4
2,Google,Mr. Right,Mr. ,mr. tire,2016-04-19 16:50:03,4
3,Google,Mr. Right,Mr. ,mr. miyagi,2016-04-19 16:50:03,4
4,Google,Mr. Right,Mr. ,mr. t,2016-04-19 16:50:03,4
5,Google,Mr. Right,Mr. ,mr. bean,2016-04-19 16:50:03,4
6,Google,Mr. Right,Mr. ,mr. rogers,2016-04-19 16:50:03,4
7,Google,Mr. Right,Mr. ,mr. right,2016-04-19 16:50:03,4
8,Google,Mr. Right,Mr. ,mr. selfridge,2016-04-19 16:50:03,4
9,Google,Mr. Right,Mr. ,mr. robot season 2,2016-04-19 16:50:03,4
10,Google,Mr. Right,Mr. ,mr. wash,2016-04-19 16:50:03,4
1,Bing,Mr. Right,Mr. ,mr tire,2016-04-19 16:50:03,4
2,Bing,Mr. Right,Mr. ,mr rebates,2016-04-19 16:50:03,4
3,Bing,Mr. Right,Mr. ,mr money mustache,2016-04-19 16:50:03,4
4,Bing,Mr. Right,Mr. ,mr bean,2016-04-19 16:50:03,4
5,Bing,Mr. Right,Mr. ,mr robot,2016-04-19 16:50:03,4
6,Bing,Mr. Right,Mr. ,mr tire coupons,2016-04-19 16:50:03,4
7,Bing,Mr. Right,Mr. ,mr world premiere,2016-04-19 16:50:03,4
8,Bing,Mr. Right,Mr. ,mr food,2016-04-19 16:50:03,4
9,Bing,Mr. Right,Mr. ,mr t,2016-04-19 16:50:03,4
10,Bing,Mr. Right,Mr. ,mr selfridge,2016-04-19 16:50:03,4
1,Google,Mr. Right,Mr. R,mr. robot,2016-04-19 16:50:03,5
2,Google,Mr. Right,Mr. R,mr. rogers,2016-04-19 16:50:03,5
3,Google,Mr. Right,Mr. R,mr. right,2016-04-19 16:50:03,5
4,Google,Mr. Right,Mr. R,mr. robot season 2,2016-04-19 16:50:03,5
5,Google,Mr. Right,Mr. R,mr. rogers neighborhood,2016-04-19 16:50:03,5
6,Google,Mr. Right,Mr. R,mr. robot cast,2016-04-19 16:50:03,5
7,Google,Mr. Right,Mr. R,mr. roboto,2016-04-19 16:50:03,5
8,Google,Mr. Right,Mr. R,mr. rebates,2016-04-19 16:50:03,5
9,Google,Mr. Right,Mr. R,mr. robot streaming,2016-04-19 16:50:03,5
10,Google,Mr. Right,Mr. R,mr. rooter,2016-04-19 16:50:03,5
1,Bing,Mr. Right,Mr. R,mr rebates,2016-04-19 16:50:03,5
