Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,The Finest Hours,The ,the jungle book,2016-04-19 16:50:00,4
2,Google,The Finest Hours,The ,the voice,2016-04-19 16:50:00,4
3,Google,The Finest Hours,The ,the revenant,2016-04-19 16:50:00,4
4,Google,The Finest Hours,The ,the big short,2016-04-19 16:50:00,4
5,Google,The Finest Hours,The ,the division,2016-04-19 16:50:00,4
6,Google,The Finest Hours,The ,the walking dead,2016-04-19 16:50:00,4
7,Google,The Finest Hours,The ,the weather channel,2016-04-19 16:50:00,4
8,Google,The Finest Hours,The ,the bachelor,2016-04-19 16:50:00,4
9,Google,The Finest Hours,The ,the martian,2016-04-19 16:50:00,4
10,Google,The Finest Hours,The ,the weeknd,2016-04-19 16:50:00,4
1,Bing,The Finest Hours,The ,the weather channel,2016-04-19 16:50:00,4
2,Bing,The Finest Hours,The ,the washington post,2016-04-19 16:50:00,4
3,Bing,The Finest Hours,The ,the pirate bay,2016-04-19 16:50:00,4
4,Bing,The Finest Hours,The ,the baltimore sun,2016-04-19 16:50:00,4
5,Bing,The Finest Hours,The ,the columbia bank,2016-04-19 16:50:00,4
6,Bing,The Finest Hours,The ,theblaze,2016-04-19 16:50:00,4
7,Bing,The Finest Hours,The ,the voice,2016-04-19 16:50:00,4
8,Bing,The Finest Hours,The ,the home depot,2016-04-19 16:50:00,4
9,Bing,The Finest Hours,The ,the bachelor,2016-04-19 16:50:00,4
10,Bing,The Finest Hours,The ,the walking dead,2016-04-19 16:50:00,4
1,Google,The Finest Hours,The F,the flash,2016-04-19 16:50:00,5
2,Google,The Finest Hours,The F,the forest,2016-04-19 16:50:00,5
3,Google,The Finest Hours,The F,the finest hours,2016-04-19 16:50:00,5
4,Google,The Finest Hours,The F,the family,2016-04-19 16:50:00,5
5,Google,The Finest Hours,The F,the force awakens,2016-04-19 16:50:00,5
6,Google,The Finest Hours,The F,the fifth wave,2016-04-19 16:50:00,5
7,Google,The Finest Hours,The F,the fosters,2016-04-19 16:50:00,5
8,Google,The Finest Hours,The F,the fillmore silver spring,2016-04-19 16:50:00,5
9,Google,The Finest Hours,The F,the flash season 2,2016-04-19 16:50:00,5
10,Google,The Finest Hours,The F,the forest movie,2016-04-19 16:50:00,5
1,Bing,The Finest Hours,The F,the frederick news-post,2016-04-19 16:50:00,5
2,Bing,The Finest Hours,The F,the flash,2016-04-19 16:50:00,5
3,Bing,The Finest Hours,The F,the family tv show 2016,2016-04-19 16:50:00,5
4,Bing,The Finest Hours,The F,the fillmore silver spring,2016-04-19 16:50:00,5
5,Bing,The Finest Hours,The F,the family,2016-04-19 16:50:00,5
6,Bing,The Finest Hours,The F,the fosters,2016-04-19 16:50:00,5
7,Bing,The Finest Hours,The F,the flash season 2,2016-04-19 16:50:00,5
8,Bing,The Finest Hours,The F,the federalist,2016-04-19 16:50:00,5
9,Bing,The Finest Hours,The F,the fresh market,2016-04-19 16:50:00,5
10,Bing,The Finest Hours,The F,the flight deal,2016-04-19 16:50:00,5
1,Google,The Finest Hours,The Fi,the finest hours,2016-04-19 16:50:01,6
2,Google,The Finest Hours,The Fi,the fifth wave,2016-04-19 16:50:01,6
