Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,The Hateful Eight,The ,the jungle book,2016-04-19 16:50:07,4
2,Google,The Hateful Eight,The ,the voice,2016-04-19 16:50:07,4
3,Google,The Hateful Eight,The ,the revenant,2016-04-19 16:50:07,4
4,Google,The Hateful Eight,The ,the big short,2016-04-19 16:50:07,4
5,Google,The Hateful Eight,The ,the division,2016-04-19 16:50:07,4
6,Google,The Hateful Eight,The ,the walking dead,2016-04-19 16:50:07,4
7,Google,The Hateful Eight,The ,the weather channel,2016-04-19 16:50:07,4
8,Google,The Hateful Eight,The ,the bachelor,2016-04-19 16:50:07,4
9,Google,The Hateful Eight,The ,the martian,2016-04-19 16:50:07,4
10,Google,The Hateful Eight,The ,the weeknd,2016-04-19 16:50:07,4
1,Bing,The Hateful Eight,The ,the weather channel,2016-04-19 16:50:07,4
2,Bing,The Hateful Eight,The ,the washington post,2016-04-19 16:50:07,4
3,Bing,The Hateful Eight,The ,the pirate bay,2016-04-19 16:50:07,4
4,Bing,The Hateful Eight,The ,the baltimore sun,2016-04-19 16:50:07,4
5,Bing,The Hateful Eight,The ,the columbia bank,2016-04-19 16:50:07,4
6,Bing,The Hateful Eight,The ,theblaze,2016-04-19 16:50:07,4
7,Bing,The Hateful Eight,The ,the voice,2016-04-19 16:50:07,4
8,Bing,The Hateful Eight,The ,the home depot,2016-04-19 16:50:07,4
9,Bing,The Hateful Eight,The ,the bachelor,2016-04-19 16:50:07,4
10,Bing,The Hateful Eight,The ,the walking dead,2016-04-19 16:50:07,4
1,Google,The Hateful Eight,The H,the hamilton dc,2016-04-19 16:50:07,5
2,Google,The Hateful Eight,The H,the hill,2016-04-19 16:50:07,5
3,Google,The Hateful Eight,The H,the hateful eight,2016-04-19 16:50:07,5
4,Google,The Hateful Eight,The H,the huntsman,2016-04-19 16:50:07,5
5,Google,The Hateful Eight,The H,the hamptons,2016-04-19 16:50:07,5
6,Google,The Hateful Eight,The H,the home depot,2016-04-19 16:50:07,5
7,Google,The Hateful Eight,The H,the hunger games,2016-04-19 16:50:07,5
8,Google,The Hateful Eight,The H,the hobbit,2016-04-19 16:50:07,5
9,Google,The Hateful Eight,The H,the homestead,2016-04-19 16:50:07,5
10,Google,The Hateful Eight,The H,the hills lyrics,2016-04-19 16:50:07,5
1,Bing,The Hateful Eight,The H,the home depot,2016-04-19 16:50:07,5
2,Bing,The Hateful Eight,The H,the huffington post,2016-04-19 16:50:07,5
3,Bing,The Hateful Eight,The H,the hill,2016-04-19 16:50:07,5
4,Bing,The Hateful Eight,The H,the herald mail,2016-04-19 16:50:07,5
5,Bing,The Hateful Eight,The H,the hull truth,2016-04-19 16:50:07,5
6,Bing,The Hateful Eight,The H,the hindu,2016-04-19 16:50:07,5
7,Bing,The Hateful Eight,The H,the hill newspaper,2016-04-19 16:50:07,5
8,Bing,The Hateful Eight,The H,the hartford,2016-04-19 16:50:07,5
9,Bing,The Hateful Eight,The H,herald mail,2016-04-19 16:50:07,5
10,Bing,The Hateful Eight,The H,the hockey news,2016-04-19 16:50:07,5
1,Google,The Hateful Eight,The Ha,the hamilton dc,2016-04-19 16:50:07,6
2,Google,The Hateful Eight,The Ha,the hateful eight,2016-04-19 16:50:07,6
3,Google,The Hateful Eight,The Ha,the hamptons,2016-04-19 16:50:07,6
4,Google,The Hateful Eight,The Ha,the hangover,2016-04-19 16:50:07,6
5,Google,The Hateful Eight,The Ha,the hartford,2016-04-19 16:50:07,6
6,Google,The Hateful Eight,The Ha,the haves and the have nots,2016-04-19 16:50:07,6
7,Google,The Hateful Eight,The Ha,the hague,2016-04-19 16:50:07,6
8,Google,The Hateful Eight,The Ha,the hamilton live,2016-04-19 16:50:07,6
9,Google,The Hateful Eight,The Ha,the hallow,2016-04-19 16:50:07,6
10,Google,The Hateful Eight,The Ha,the happening,2016-04-19 16:50:07,6
1,Bing,The Hateful Eight,The Ha,the hartford,2016-04-19 16:50:07,6
2,Bing,The Hateful Eight,The Ha,the hartford my account,2016-04-19 16:50:07,6
3,Bing,The Hateful Eight,The Ha,the hateful eight,2016-04-19 16:50:07,6
4,Bing,The Hateful Eight,The Ha,the haves and the have nots,2016-04-19 16:50:07,6
5,Bing,The Hateful Eight,The Ha,the harbor bank of maryland,2016-04-19 16:50:07,6
