Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
1,Google,The Revenant,The ,the jungle book,2016-04-19 16:49:42,4
2,Google,The Revenant,The ,the voice,2016-04-19 16:49:42,4
3,Google,The Revenant,The ,the revenant,2016-04-19 16:49:42,4
4,Google,The Revenant,The ,the big short,2016-04-19 16:49:42,4
5,Google,The Revenant,The ,the division,2016-04-19 16:49:42,4
6,Google,The Revenant,The ,the walking dead,2016-04-19 16:49:42,4
7,Google,The Revenant,The ,the weather channel,2016-04-19 16:49:42,4
8,Google,The Revenant,The ,the bachelor,2016-04-19 16:49:42,4
9,Google,The Revenant,The ,the martian,2016-04-19 16:49:42,4
10,Google,The Revenant,The ,the weeknd,2016-04-19 16:49:42,4
1,Bing,The Revenant,The ,the weather channel,2016-04-19 16:49:42,4
2,Bing,The Revenant,The ,the washington post,2016-04-19 16:49:42,4
3,Bing,The Revenant,The ,the pirate bay,2016-04-19 16:49:42,4
4,Bing,The Revenant,The ,the baltimore sun,2016-04-19 16:49:42,4
5,Bing,The Revenant,The ,the columbia bank,2016-04-19 16:49:42,4
6,Bing,The Revenant,The ,theblaze,2016-04-19 16:49:42,4
7,Bing,The Revenant,The ,the voice,2016-04-19 16:49:42,4
8,Bing,The Revenant,The ,the home depot,2016-04-19 16:49:42,4
9,Bing,The Revenant,The ,the bachelor,2016-04-19 16:49:42,4
10,Bing,The Revenant,The ,the walking dead,2016-04-19 16:49:42,4
1,Google,The Revenant,The R,the revenant,2016-04-19 16:49:42,5
2,Google,The Revenant,The R,the rock,2016-04-19 16:49:42,5
3,Google,The Revenant,The R,the room,2016-04-19 16:49:42,5
4,Google,The Revenant,The R,the real,2016-04-19 16:49:42,5
5,Google,The Revenant,The R,the returned,2016-04-19 16:49:42,5
6,Google,The Revenant,The R,the riggsby,2016-04-19 16:49:42,5
7,Google,The Revenant,The R,the rap game,2016-04-19 16:49:42,5
8,Google,The Revenant,The R,the red hen,2016-04-19 16:49:42,5
9,Google,The Revenant,The R,the room movie,2016-04-19 16:49:42,5
10,Google,The Revenant,The R,the royals,2016-04-19 16:49:42,5
1,Bing,The Revenant,The R,the revenant,2016-04-19 16:49:42,5
2,Bing,The Revenant,The R,the root,2016-04-19 16:49:42,5
3,Bing,The Revenant,The R,the royal gazette bermuda,2016-04-19 16:49:42,5
4,Bing,The Revenant,The R,the real talk show,2016-04-19 16:49:42,5
5,Bing,The Revenant,The R,the real,2016-04-19 16:49:42,5
6,Bing,The Revenant,The R,the real real,2016-04-19 16:49:42,5
7,Bing,The Revenant,The R,the right scoop,2016-04-19 16:49:42,5
8,Bing,The Revenant,The R,the returned,2016-04-19 16:49:42,5
9,Bing,The Revenant,The R,the revenant true story,2016-04-19 16:49:42,5
10,Bing,The Revenant,The R,the room,2016-04-19 16:49:42,5
1,Google,The Revenant,The Re,the revenant,2016-04-19 16:49:42,6
2,Google,The Revenant,The Re,the real,2016-04-19 16:49:42,6
