Order Number,Search Enginee,Movie Name,Sub Term,Suggestion,Date & Time,Character Typed
6,Google,The Revenant,The Rev,the revenant full movie,2016-04-19 16:49:42,7
5,Bing,The Revenant,The Rev,the revenant full movie,2016-04-19 16:49:42,7
6,Google,The Revenant,The Reve,the revenant full movie,2016-04-19 16:49:42,8
5,Bing,The Revenant,The Reve,the revenant full movie,2016-04-19 16:49:42,8
6,Google,The Revenant,The Reven,the revenant full movie,2016-04-19 16:49:43,9
5,Bing,The Revenant,The Reven,the revenant full movie,2016-04-19 16:49:43,9
6,Google,The Revenant,The Revena,the revenant full movie,2016-04-19 16:49:43,10
5,Bing,The Revenant,The Revena,the revenant full movie,2016-04-19 16:49:43,10
6,Google,The Revenant,The Revenan,the revenant full movie,2016-04-19 16:49:43,11
5,Bing,The Revenant,The Revenan,the revenant full movie,2016-04-19 16:49:43,11
